## FlyBase Signaling Pathways report
## Generated: Mon Nov 24 14:13:21 2025
## Using chado datasource: dbi:Pg:dbname=fb_2025_05_reporting;host=flysql25;port=5432

## Where groups are arranged into hierarchies, note that:
## i) the member genes are only associated with the terminal subgroups
## ii) the immediate parent of any subgroup is identified in the 'Parent_FB_group_id' and 'Parent_FB_group_symbol' columns

# FB_group_id	FB_group_symbol	FB_group_name	Parent_FB_group_id	Parent_FB_group_symbol	Group_member_FB_gene_id	Group_member_FB_gene_symbol
FBgg0000934	TORS	TORSO SIGNALING PATHWAY				
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0029113	Uba2
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0011236	ken
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0015903	apt
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0262406	mir-let7
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0033266	Socs44A
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0000541	E(bx)
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0259785	pzg
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0266711	EloC
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0003612	Su(var)2-10
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0023212	EloB
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0262448	mir-279
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0031055	et
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0267487	Ptp61F
FBgg0000884	JAKSTAT-N	NEGATIVE REGULATORS OF JAK-STAT SIGNALING PATHWAY	FBgg0000883	JAKSTAT	FBgn0032956	Cul2
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0029113	Uba2
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0265998	Doa
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0260439	Pp2A-29B
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0267682	asRNA:CR46018
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0025574	Pli
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0062961	lncRNA:CR33942
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0264922	Sumo
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0004889	tws
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0029512	Aos1
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0265464	Traf6
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0283468	slmb
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0016696	Pitslre
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0031450	Hrs
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0035207	Herc4
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0000721	for
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0036448	mop
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0034246	Dcr-2
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0031114	cactin
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0261988	Gprk2
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0037384	dgrn
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0000524	dx
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0260635	Diap1
FBgg0001057	TL-NFP	POSITIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0004177	mts
FBgg0000958	EGFR-RTK	EGFR SIGNALING PATHWAY				
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0003079	Raf
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0015402	ksr
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0001139	gro
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0000382	csw
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0003041	pbl
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0286070	cnk
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0020299	stumps
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0003118	pnt
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0001965	Sos
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0010269	Dsor1
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0003256	rl
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0285896	btl
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0030096	Zpr1
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0015296	Shc
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0010389	htl
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0000097	aop
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0259211	grh
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0003205	Ras85D
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0033652	ths
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0014135	bnl
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0033649	pyr
FBgg0000968	FGFR-C	FGFR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000967	FGFR	FBgn0004638	drk
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0025625	Sik2
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0044047	Ilp6
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0041210	HDAC4
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0262103	Sik3
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0021796	mTor
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0038197	foxo
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0044050	Ilp3
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0041191	Rheb
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0286070	cnk
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0020622	Pi3K21B
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0261560	Thor
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0266411	sima
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0044048	Ilp5
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0029840	raptor
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0020386	Pdk1
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0015279	Pi3K92E
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0004507	Glyp
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0000659	fkh
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0264075	tgo
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0283472	S6k
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0010379	Akt
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0028717	Lnk
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0024248	chico
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0010269	Dsor1
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0003256	rl
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0283499	InR
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0262656	Myc
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0036046	Ilp2
FBgg0000904	INS-C	INSULIN-LIKE RECEPTOR SIGNALING PATHWAY CORE COMPONENTS	FBgg0000910	INS	FBgn0004638	drk
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0031676	senju
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0027603	Ulp1
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0001139	gro
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0040206	krz
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0010501	Dcp-1
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0010602	lwr
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0262378	mir-317
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0262249	mir-958
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0262433	mir-210
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0025574	Pli
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0000250	cact
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0262432	mir-8
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0262256	mir-959
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0039214	puf
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0262200	mir-962
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0019972	Drice
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0017424	asRNA:CR11538
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0262239	mir-961
FBgg0001053	TL-NFN	NEGATIVE REGULATORS OF TOLL-NF-kappaB SIGNALING PATHWAY	FBgg0001059	TL-CAN	FBgn0262321	mir-960
FBgg0000936	TORS-P	POSITIVE REGULATORS OF TORSO SIGNALING PATHWAY	FBgg0000934	TORS	FBgn0262733	Src64B
FBgg0000936	TORS-P	POSITIVE REGULATORS OF TORSO SIGNALING PATHWAY	FBgg0000934	TORS	FBgn0004907	14-3-3zeta
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0015509	Cul1
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0028484	Ack
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0260934	par-1
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0283468	slmb
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0039055	Rassf
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0259168	mnb
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0002466	sti
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0003557	Su(dx)
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0263237	Cdk7
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0031871	Fgop2
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0266717	Bruce
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0029006	Smurf
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0266848	wap
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0260439	Pp2A-29B
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0044323	Cka
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0265045	Strn-Mlck
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0286784	TER94
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0004177	mts
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0039859	Mnat9
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0263197	Patronin
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0035437	Strip
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0025637	SkpA
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0030366	Usp7
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0030530	jub
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0284247	ds
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0040752	Prosap
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0010348	Arf1
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0261524	lic
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0262103	Sik3
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0035207	Herc4
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0259483	Mob4
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0261854	aPKC
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0040011	Slmap
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0004636	Rap1
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0262029	dachs
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0262733	Src64B
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0015024	CkIalpha
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0004859	ci
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0010379	Akt
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0040294	POSH
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0024846	p38b
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0032363	Dlg5
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0011642	Zyx
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0034264	Dlish
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0035142	Hipk
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0024329	Mekk1
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0042693	wrd
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0025625	Sik2
FBgg0000916	SWH-N	NEGATIVE REGULATORS OF HIPPO SIGNALING PATHWAY	FBgg0000917	SWH	FBgn0027492	wdb
FBgg0000969	FGFR-N	NEGATIVE REGULATORS OF FGFR SIGNALING PATHWAY	FBgg0000967	FGFR	FBgn0266076	mir-276a
FBgg0000969	FGFR-N	NEGATIVE REGULATORS OF FGFR SIGNALING PATHWAY	FBgg0000967	FGFR	FBgn0004370	Ptp10D
FBgg0000969	FGFR-N	NEGATIVE REGULATORS OF FGFR SIGNALING PATHWAY	FBgg0000967	FGFR	FBgn0284408	trol
FBgg0000969	FGFR-N	NEGATIVE REGULATORS OF FGFR SIGNALING PATHWAY	FBgg0000967	FGFR	FBgn0014388	sty
FBgg0000969	FGFR-N	NEGATIVE REGULATORS OF FGFR SIGNALING PATHWAY	FBgg0000967	FGFR	FBgn0003969	vap
FBgg0000969	FGFR-N	NEGATIVE REGULATORS OF FGFR SIGNALING PATHWAY	FBgg0000967	FGFR	FBgn0004368	Ptp4E
FBgg0000969	FGFR-N	NEGATIVE REGULATORS OF FGFR SIGNALING PATHWAY	FBgg0000967	FGFR	FBgn0033438	Mmp2
FBgg0000918	WNT-PRO	WNT PRODUCTION	FBgg0000889	WNT-TCF	FBgn0036141	wls
FBgg0000918	WNT-PRO	WNT PRODUCTION	FBgg0000889	WNT-TCF	FBgn0004957	por
FBgg0001055	TL-SPZN	NEGATIVE REGULATORS OF SPATZLE ACTIVATING PATHWAY	FBgg0001059	TL-CAN	FBgn0028990	Spn27A
FBgg0001055	TL-SPZN	NEGATIVE REGULATORS OF SPATZLE ACTIVATING PATHWAY	FBgg0001059	TL-CAN	FBgn0028988	Spn42Dd
FBgg0001055	TL-SPZN	NEGATIVE REGULATORS OF SPATZLE ACTIVATING PATHWAY	FBgg0001059	TL-CAN	FBgn0002930	nec
FBgg0001055	TL-SPZN	NEGATIVE REGULATORS OF SPATZLE ACTIVATING PATHWAY	FBgg0001059	TL-CAN	FBgn0028984	Spn88Ea
FBgg0001793	CGAS-STING-C	CGAS-STING SIGNALING PATHWAY CORE COMPONENTS	FBgg0001792	CGAS-STING	FBgn0024222	IKKbeta
FBgg0001793	CGAS-STING-C	CGAS-STING SIGNALING PATHWAY CORE COMPONENTS	FBgg0001792	CGAS-STING	FBgn0050424	cGlr2
FBgg0001793	CGAS-STING-C	CGAS-STING SIGNALING PATHWAY CORE COMPONENTS	FBgg0001792	CGAS-STING	FBgn0034047	cGlr1
FBgg0001793	CGAS-STING-C	CGAS-STING SIGNALING PATHWAY CORE COMPONENTS	FBgg0001792	CGAS-STING	FBgn0086657	IKKepsilon
FBgg0001793	CGAS-STING-C	CGAS-STING SIGNALING PATHWAY CORE COMPONENTS	FBgg0001792	CGAS-STING	FBgn0014018	Rel
FBgg0001793	CGAS-STING-C	CGAS-STING SIGNALING PATHWAY CORE COMPONENTS	FBgg0001792	CGAS-STING	FBgn0033453	Sting
FBgg0001941	CGAS-STING-P	POSITIVE REGULATORS OF CGAS-STING SIGNALING PATHWAY	FBgg0001792	CGAS-STING	FBgn0025709	CNT2
FBgg0000956	EGFR-P	POSITIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0000071	Ama
FBgg0000956	EGFR-P	POSITIVE REGULATORS OF EGFR SIGNALING PATHWAY	FBgg0000958	EGFR-RTK	FBgn0050115	GEFmeso
